AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	xaxis	yaxis
4119.638	334.044	WHATCOM	Washington	53073	3718.9	355.30583566000	2003.30208711000
1828.394	222.468	CLALLAM	Washington	53009	1650.5	238.13813288000	1992.46228069000
203.316	93.389	SAN JUAN	Washington	53055	179.0	297.89251313100	2012.35982415000
31067.588	839.401	STEVENS	Washington	53065	28045.4	475.56525976100	1909.03295330000
188.267	114.595	ISLAND	Washington	53029	212.0	306.01869226900	1978.26999739000
2076.115	304.893	JEFFERSON	Washington	53031	1874.2	249.87576053800	1966.25725379000
2341.395	226.402	SNOHOMISH	Washington	53061	2113.6	344.40828889300	1959.52787333000
14689.742	831.182	NEZ PERCES	Idaho	16069	13260.8	594.31393767000	1816.57941213000
399.121	147.656	KITSAP	Washington	53035	360.3	288.76752808200	1942.12067899000
2066.593	253.281	CHEHALIS	Washington	53081	1865.6	228.14705700900	1927.31830751000
20794.699	763.654	MISSOULA	Montana	30063	18771.8	679.59616519800	1854.72168835000
993.570	200.424	MASON	Washington	53045	896.9	257.88866011200	1932.54108310000
2310.204	234.129	KING	Washington	53033	2085.5	328.20196184000	1922.03073238000
13379.131	810.640	DEER LODGE	Montana	30023	12077.6	757.01867693700	1819.82412201000
8092.024	479.757	YAKIMA	Washington	53077	7304.9	371.88533928900	1858.05879969000
7766.643	465.764	AROOSTOOK	Maine	23003	7011.1	2949.97487604000	1874.07107456000
16341.592	513.072	CHOTEAU	Montana	30015	14751.9	878.19399723500	1854.88228927000
690.232	155.094	THURSTON	Washington	53067	623.1	266.17634845200	1898.74846970000
1113.426	211.434	PACIFIC	Washington	53049	1005.1	218.78145825600	1882.62446506000
43443.277	1090.762	BIG HORN	Montana	30003	39217.2	1037.80804094000	1696.56648805000
2407.470	259.849	LEWIS	Washington	53041	2173.3	278.62865667900	1870.40643476000
5508.934	388.906	SHOSHONE	Idaho	16079	4973.0	611.78677674800	1817.37161891000
166398.000	2168.897	UNORGANIZED DK	North Dakota	57999	150211.2	1300.03663377000	1672.67457691000
7962.710	424.461	KITTSON/PEMBINA	Minnesota	27069	7188.1	1600.92576010000	1826.27845937000
201.340	78.343	WAHKIAKUM	Washington	53069	181.8	232.54003509900	1862.37362005000
1037.722	152.596	CLATSOP	Oregon	41007	936.8	207.07089011700	1841.56769726000
425.635	99.201	COWLITZ	Washington	53015	384.2	245.04474205600	1852.36629329000
