AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	xaxis	yaxis
14146.676	614.073	IDAHO	Idaho	16049	12770.5	603.66933385100	1706.75304449000
1656.504	170.097	SHERIDAN	North Dakota	38083	1480.4	1369.29510632000	1759.45700826000
1958.517	259.480	FRANKLIN	Maine	23007	1768.0	2892.71830106000	1731.54733269000
1700.291	170.665		North Dakota	38117	1519.5	1414.49490145000	1756.65938036000
1712.414	168.923	FOSTER	North Dakota	38031	1545.8	1460.13974245000	1755.77024214000
7291.073	378.607	UNION	Oregon	41061	6581.8	497.60930459400	1722.77895678000
1298.075	159.452	BENTON	Oregon	41003	1171.8	177.82998537900	1742.66536282000
2068.305	194.085	TRAILL	North Dakota	38097	1867.1	1516.22195392000	1743.37019204000
370.475	97.626	KEWEENAW	Michigan	26083	570.0	1982.66059760000	1749.54084885000
967.734	137.777	MERCER	North Dakota	38057	864.8	1316.43026811000	1736.17904508000
2800.305	247.882	LINN	Oregon	41043	2527.9	231.30169789400	1722.73826888000
2362.306	311.030	OXFORD	Maine	23017	2132.5	2885.52520402000	1694.77118687000
4748.383	398.116	CASS	Minnesota	27021	4286.5	1671.92260641000	1711.00645495000
2651.217	213.684	JEFFERSON	Montana	30043	2393.3	788.36290259600	1721.56687376000
2020.725	226.733	COOS	New Hampshire	33007	1824.2	2854.69888724000	1700.95938447000
1120.359	196.502	HOUGHTON	Michigan	26061	1011.4	1956.90833251000	1714.37027670000
2925.849	239.920	BURLEIGH	North Dakota	38015	2641.2	1363.71405914000	1715.46759418000
1638.439	171.810	KIDDER	North Dakota	38043	1479.1	1408.76371518000	1713.00754897000
32823.777	779.013	CUSTER	Montana	30017	29630.8	1058.88720767000	1661.65651433000
2224.913	192.483	STUTSMAN	North Dakota	38093	2008.5	1446.49960128000	1711.71450418000
1806.494	181.357	BARNES	North Dakota	38003	1630.8	1486.76373764000	1708.28492813000
5101.605	408.462	LANE	Oregon	41039	4605.3	202.87963931400	1689.12208269000
801.187	147.256	WALDO	Maine	23027	723.2	2965.55362577000	1716.88896803000
1954.055	177.998	CASS	North Dakota	38017	1764.0	1528.99749472000	1705.37281847000
1017.157	169.815	KENNEBEC	Maine	23011	918.2	2937.29334932000	1701.57059186000
3976.052	256.112	BILLINGS	North Dakota	38007	3589.3	1212.39078807000	1687.23393602000
18366.055	645.195	GRANT	Oregon	41023	16579.5	386.25870665600	1607.12541226000
3724.854	248.749	STARK	North Dakota	38089	3328.8	1263.92919188000	1683.43015907000
2501.757	307.565	CHIPPEWA	Michigan	26033	2258.4	2141.57740672000	1694.10321589000
2742.836	244.278	ONTONAGON	Michigan	26131	2476.0	1918.33972432000	1686.13706180000
1184.781	140.855	CLAY	Minnesota	27027	1069.5	1567.16589762000	1702.20249511000
1585.686	165.850	BECKER	Minnesota	27005	1431.4	1608.01121832000	1704.90647882000
1017.636	183.502	BARAGA	Michigan	26013	918.6	1973.62633029000	1698.63781397000
751.419	137.642	ESSEX	Vermont	50009	678.3	2832.71234311000	1696.70858812000
3527.216	281.046	MORTON	North Dakota	38059	3184.1	1316.17989179000	1684.92226613000
3871.313	317.045	MARQUETTE	Michigan	26103	3494.7	1995.50854794000	1675.37855217000
10528.516	502.030	GALLATIN	Montana	30031	9504.3	862.11896569000	1665.80848074000
5030.447	343.645	BEAVERHEAD	Montana	30001	4541.1	719.02037313100	1663.34824450000
833.709	133.687	ORLEANS	Vermont	50019	752.6	2805.57692493000	1698.42787675000
2032.522	199.204	AITKIN	Minnesota	27001	1834.8	1722.53452702000	1681.38833964000
2370.562	256.375	SCHOOLCRAFT	Michigan	26153	2140.0	2076.27733192000	1679.81891030000
1677.044	179.899	BAYFIELD/LA POIN	Wisconsin	55007	1513.9	1832.86427699000	1679.14977572000
5449.213	392.070	DOUGLAS	Oregon	41019	4919.1	172.44914558700	1649.28395234000
4746.175	328.464	LEMHI	Idaho	16059	4284.5	670.62325107600	1651.08287532000
769.484	117.126	FRANKLIN	Vermont	50011	694.6	2771.27568869000	1691.51688403000
335.033	98.140	KNOX	Maine	23013	302.4	2968.37538940000	1692.34538885000
560.027	117.029	ANDROSCOGGIN	Maine	23001	505.5	2920.17919267000	1678.14374537000
550.410	138.277	LINCOLN	Maine	23015	496.9	2954.96039686000	1681.47872863000
13433.938	600.713	BAKER	Oregon	41001	12127.1	457.39905185800	1585.50501002000
218.885	79.492	GRAND ISLE	Vermont	50013	197.6	2752.80854951000	1683.19788913000
5018.019	321.170	MADISON	Montana	30057	4529.9	774.10734624200	1650.13776139000
713.950	150.517	CALEDONIA	Vermont	50005	644.5	2819.55313568000	1673.82951051000
1222.854	143.046	CLINTON	New York	36019	1103.9	2734.42822769000	1674.60920088000
578.737	99.651	WADENA	Minnesota	27159	522.4	1643.17127877000	1680.04123224000
930.093	125.220	CARLTON	Minnesota	27017	839.6	1758.22696716000	1682.45212818000
1457.865	166.093	DOUGLAS	Wisconsin	55031	1316.0	1796.47591138000	1671.63967031000
2867.448	236.382	WASHINGTON	Idaho	16087	2588.5	529.55504187000	1657.80812141000
1049.413	140.496	CROW WING	Minnesota	27035	947.3	1688.05393405000	1669.16753010000
2171.415	239.647	ASHLAND	Wisconsin	55003	1960.2	1861.67386182000	1660.73997048000
531.930	100.606	LAMOILLE	Vermont	50015	480.2	2789.42272524000	1677.10021280000
1721.707	178.616	EMMONS	North Dakota	38029	1554.2	1377.05656415000	1663.89313240000
2422.537	200.374	OTTER TAIL	Minnesota	27111	2186.9	1606.12091037000	1667.16138932000
1874.777	204.174	FRANKLIN	New York	36033	1692.4	2705.74875522000	1656.41211775000
2185.169	191.886	LOGAN	North Dakota	38047	1952.8	1416.27131172000	1662.24218346000
1626.892	189.735	COOS	Oregon	41011	1468.6	126.29986615900	1654.86013714000
2543.592	204.598	LAMOURE	North Dakota	38045	2296.2	1463.51757582000	1660.37922357000
1644.398	186.100	RANSOM	North Dakota	38073	1484.4	1506.14927479000	1661.35154582000
289.347	101.632	SAGADAHOC	Maine	23023	261.2	2940.56368457000	1670.00092639000
1278.786	145.966	RICHLAND	North Dakota	38077	1154.4	1543.50764323000	1661.92631966000
824.438	131.442	WILKIN/TOOMBS	Minnesota	27167	744.2	1567.68000906000	1663.93381732000
1111.962	252.201	MACKINAC/MICHILI	Michigan	26097	1003.8	2140.85024828000	1672.81993453000
3135.607	222.256	ST LAWRENCE	New York	36089	2830.6	2668.50229991000	1641.25902089000
685.054	120.752	CHITTENDEN	Vermont	50007	618.4	2769.02201441000	1661.52177741000
1115.487	183.824	CARROLL	New Hampshire	33003	1007.0	2875.21326151000	1644.41908082000
2589.596	248.179	BOREMAN	South Dakota	46195	2337.7	1340.05209581000	1639.71694136000
1922.698	210.581	GRAFTON	New Hampshire	33009	1735.7	2842.98153727000	1640.23680579000
787.305	134.883	WASHINGTON	Vermont	50023	710.7	2796.65763746000	1654.40964026000
1032.619	191.336	CUMBERLAND	Maine	23005	932.2	2914.54410180000	1654.09867450000
1552.362	171.821	PINE	Minnesota	27115	1401.4	1755.88440489000	1648.64699564000
1299.639	247.091	DELTA	Michigan	26041	1173.2	2050.61856637000	1651.49687105000
4005.918	261.870	LINCOLN	Wisconsin	55069	3616.2	1918.85847387000	1623.09313446000
1077.382	142.173	TODD	Minnesota	27153	972.6	1646.66180891000	1643.09645178000
2112.751	201.006	ESSEX	New York	36031	1907.2	2740.07169456000	1628.45381426000
1242.795	176.878	MORRISON	Minnesota	27097	1121.9	1678.43379418000	1639.45567800000
1227.193	176.423	LANGLADE	Wisconsin	55067	1107.8	1954.03082112000	1618.72580612000
755.411	137.161	MILLE LACS	Minnesota	27095	681.9	1710.76388804000	1634.47279457000
14556.120	502.272	LAKE	Oregon	41037	13140.1	272.40944006100	1584.75153565000
769.681	121.317	ORANGE	Vermont	50017	694.8	2813.13660231000	1638.30343965000
1579.006	210.283	MENOMINEE	Michigan	26109	1425.4	2016.53379256000	1628.17369157000
9271.259	433.078		South Dakota	46999	8285.4	1246.35991738000	1613.32856752000
512.753	118.119	EMMET	Michigan	26047	462.9	2157.46073507000	1632.27041320000
909.426	128.735	CHEBOYGAN	Michigan	26031	821.0	2177.53706112000	1629.94397811000
1947.689	209.840	BURNETT	Wisconsin	55013	1758.2	1789.00807795000	1631.84962217000
2120.248	216.724	SISSETON&WAHPETON	South Dakota	46109	1914.0	1534.22861661000	1620.03719302000
914.085	141.860	ADDISON	Vermont	50001	825.2	2773.85865485000	1630.52724364000
1883.302	279.631	OCONTO	Wisconsin	55083	1700.1	1981.01995448000	1596.02329195000
595.342	109.043	KANABEC	Minnesota	27065	537.4	1728.07908087000	1635.53301344000
1852.906	232.466	MARINETTE	Wisconsin	55075	1672.7	1995.36480030000	1612.74715064000
1468.123	213.508	CURRY	Oregon	41015	1325.3	106.24389185100	1610.24759393000
611.885	100.123	GRANT	Minnesota	27051	552.4	1590.24714081000	1633.28655822000
787.938	135.242	PRESQUE ISLE	Michigan	26141	711.3	2208.46480489000	1625.92589331000
789.111	114.157	DOUGLAS	Minnesota	27041	712.3	1618.31650928000	1633.08697655000
1112.637	150.493	YORK	Maine	23031	1004.4	2907.39980720000	1623.17889724000
1402.939	151.037	PRICE	Wisconsin	55099	1266.5	1878.17422868000	1621.48529628000
3015.735	219.865	BOISE	Idaho	16015	2722.4	560.93549848600	1611.12842854000
3285.816	263.656	CHIPPEWA	Wisconsin	55017	2966.2	1837.36115882000	1602.35689067000
676.337	116.006	TRAVERSE	Minnesota	27155	610.5	1566.82919568000	1621.54727607000
862.730	138.354	CAMPBELL	South Dakota	46021	778.8	1384.39079907000	1626.25597893000
1284.521	151.874	MCPHERSON	South Dakota	46089	1147.9	1426.54198251000	1624.06536229000
1911.685	176.315	BROWN	South Dakota	46013	1725.7	1470.33253126000	1609.85968055000
1514.721	161.880	DAY	South Dakota	46037	1367.4	1504.44719831000	1607.41815602000
285.168	192.654	YELLOWSTONE NAT. PARK-P	Montana	30113	254.8	835.54716685100	1623.25190895000
21227.016	630.810	ALTURAS	Idaho	16089	19162.1	646.55884463600	1554.09173330000
513.585	101.471	BELKNAP	New Hampshire	33001	463.6	2870.66791984000	1615.95591085000
1845.967	199.921	JOSEPHINE	Oregon	41033	1666.4	131.83382489200	1591.22650478000
1078.194	181.471	WINDSOR	Vermont	50027	973.3	2810.14213534000	1605.65021448000
2682.955	251.308	ADA	Idaho	16001	2422.0	522.14854903200	1584.71298079000
453.204	92.820	BENTON	Minnesota	27009	409.1	1692.13757313000	1617.17436354000
1450.650	205.701	JEFFERSON	New York	36045	1309.5	2632.50338963000	1598.93804485000
