1868	1	165
1868	2	167.5
1868	3	174
1868	4	172
1868	5	165
1868	6	162.5
1868	7	150
1868	8	150
1868	9	150
1868	10	150
1868	11	148
1868	12	147.5
1869	1	145
1869	2	143.2
1869	3	135
1869	4	134
1869	5	130.2
1869	6	128
1869	7	130
1869	8	130
1869	9	130
1869	10	130.5
1869	11	130.2
1869	12	120
1870	1	110
1870	2	110
1870	3	108.5
1870	4	107
1870	5	106
1870	6	109.2
1870	7	110
1870	8	110
1870	9	108.8
1870	10	101.5
1870	11	102.5
1870	12	98
1871	1	95
1871	2	96
1871	3	106
1871	4	95
1871	5	103
1871	6	104
1871	7	103.8
1871	8	104
1871	9	106
1871	10	105.8
1871	11	105.2
1871	12	106.5
1872	1	104.5
1872	2	104
1872	3	104.2
1872	4	111.5
1872	5	110
1872	6	113
1872	7	114.5
1872	8	115.2
1872	9	114
1872	10	113.5
1872	11	118
1872	12	120.8
1873	1	121
1873	2	120
1873	3	122.5
1873	4	120.2
1873	5	120
1873	6	121.8
1873	7	121.8
1873	8	121.8
1873	9	118
1873	10	120
1873	11	120
1873	12	120
1874	1	117.5
1874	2	117.5
1874	3	115
1874	4	98.7
1874	5	98.3
1874	6	96.2
1874	7	91
1874	8	89.2
1874	9	78.2
1874	10	78.2
1874	11	75.7
1874	12	75.7
1875	1	71
1875	2	71
1875	3	71
1875	4	69
1875	5	69
1875	6	69
1875	7	69
1875	8	69
1875	9	69
1875	10	67
1875	11	66
1875	12	65
1876	1	67
1876	2	65
1876	3	62
1876	4	62
1876	5	62
1876	6	60
1876	7	59
1876	8	59
1876	9	56
1876	10	54
1876	11	53
1876	12	52
1877	1	49
1877	2	49
1877	3	49
1877	4	49
1877	5	47.2
1877	6	46.5
1877	7	45.2
1877	8	44.8
1877	9	44
1877	10	42.2
1877	11	40.5
1877	12	40.5
1878	1	41
1878	2	41.5
1878	3	41.5
1878	4	42
1878	5	43.5
1878	6	43
1878	7	43.5
1878	8	42.5
1878	9	42.5
1878	10	42.5
1878	11	42
1878	12	41
1879	1	41
1879	2	42
1879	3	43
1879	4	42.5
1879	5	42
1879	6	43
1879	7	44
1879	8	48
1879	9	50
1879	10	55
1879	11	61
1879	12	67
1880	1	75
1880	2	85
1880	3	82
1880	4	75
1880	5	65
1880	6	63.8
1880	7	62.5
1880	8	63.8
1880	9	61.2
1880	10	60
1880	11	59
1880	12	58
1881	1	60
1881	2	62
1881	3	62.5
1881	4	63
1881	5	63
1881	6	60
1881	7	61
1881	8	60
1881	9	60
1881	10	60
1881	11	61.5
1881	12	60
1882	1	58
1882	2	55
1882	3	54
1882	4	52.8
1882	5	48.8
1882	6	48.2
1882	7	48
1882	8	47
1882	9	45
1882	10	44.2
1882	11	42
1882	12	39
1883	1	40
1883	2	39.5
1883	3	39
1883	4	38.5
1883	5	38
1883	6	38
1883	7	38
1883	8	38
1883	9	37.5
1883	10	37
1883	11	35
1883	12	34.5
1884	1	34
1884	2	34
1884	3	34
1884	4	34
1884	5	33
1884	6	32
1884	7	30
1884	8	28
1884	9	27
1884	10	28
1884	11	28
1884	12	27
1885	1	27
1885	2	27
1885	3	26.5
1885	4	26
1885	5	27
1885	6	27.2
1885	7	27.2
1885	8	27.2
1885	9	29
1885	10	30.5
1885	11	33
1885	12	34.5
1886	1	34.5
1886	2	34.5
1886	3	34.5
1886	4	34.5
1886	5	34.5
1886	6	34.5
1886	7	34.5
1886	8	34.2
1886	9	34
1886	10	34
1886	11	34.5
1886	12	36
1887	1	38.5
1887	2	39.5
1887	3	39.5
1887	4	39.2
1887	5	39
1887	6	39
1887	7	38.5
1887	8	37
1887	9	36
1887	10	34.2
1887	11	32.5
1887	12	32
1888	1	31.5
1888	2	31.5
1888	3	31.5
1888	4	31.5
1888	5	31
1888	6	30
1888	7	30
1888	8	29
1888	9	28.5
1888	10	28
1888	11	27.5
1888	12	28
1889	1	27.5
1889	2	27.5
1889	3	27.5
1889	4	27.5
1889	5	27
1889	6	27.5
1889	7	28
1889	8	28
1889	9	29.5
1889	10	32
1889	11	34
1889	12	35
1890	1	35.2
1890	2	35
1890	3	34
1890	4	33.5
1890	5	31.4
1890	6	31.5
1890	7	31.5
1890	8	31.2
1890	9	30.5
1890	10	30
1890	11	29
1890	12	28.5
1891	1	29
1891	2	30
1891	3	30
1891	4	30
1891	5	30
1891	6	30
1891	7	30
1891	8	30
1891	9	30
1891	10	30
1891	11	30
1891	12	30
1892	1	30
1892	2	30
1892	3	30
1892	4	30
1892	5	30
1892	6	30
1892	7	30
1892	8	30
1892	9	30
1892	10	30
1892	11	30
1892	12	30
1893	1	29
1893	2	29
1893	3	29
1893	4	29
1893	5	29
1893	6	29
1893	7	29
1893	8	29
1893	9	29
1893	10	27.5
1893	11	25
1893	12	24
1894	1	24
1894	2	24
1894	3	24
1894	4	24
1894	5	24
1894	6	24
1894	7	24
1894	8	24
1894	9	24
1894	10	24
1894	11	24
1894	12	24
1895	1	22
1895	2	22
1895	3	22
1895	4	22
1895	5	22
1895	6	22
1895	7	24
1895	8	24
1895	9	28
1895	10	28
1895	11	28
1895	12	28
1896	1	28
1896	2	28
1896	3	28
1896	4	28
1896	5	28
1896	6	28
1896	7	28
1896	8	28
1896	9	28
1896	10	28
1896	11	28
1896	12	28
1897	1	25
1897	2	20
1897	3	18
1897	4	18
1897	5	18
1897	6	18
1897	7	18
1897	8	18
1897	9	18
1897	10	18
1897	11	18
1897	12	18
1898	1	18
1898	2	18
1898	3	18
1898	4	18
1898	5	18
1898	6	17.5
1898	7	17
1898	8	17.5
1898	9	17.5
1898	10	17.5
1898	11	17
1898	12	17.5
1899	1	18.5
1899	2	20.2
1899	3	24.8
1899	4	25.8
1899	5	25.2
1899	6	27.2
1899	7	28.2
1899	8	31
1899	9	32.5
1899	10	34
1899	11	35
1899	12	35
1900	1	35
1900	2	34.2
1900	3	35
1900	4	35
1900	5	35
1900	6	35
1900	7	35
1900	8	35
1900	9	30.2
1900	10	26
1900	11	26
1900	12	26
1901	1	26
1901	2	26
1901	3	26
1901	4	26
1901	5	28
1901	6	28
1901	7	28
1901	8	28
1901	9	28
1901	10	28
1901	11	28
1901	12	28
1902	1	28
1902	2	28
1902	3	28
1902	4	28
1902	5	28
1902	6	28
1902	7	28
1902	8	28
1902	9	28
1902	10	28
1902	11	28
1902	12	28
1903	1	28
1903	2	28
1903	3	28
1903	4	28
1903	5	28
1903	6	28
1903	7	28
1903	8	28
1903	9	28
1903	10	28
1903	11	28
1903	12	28
1904	1	28
1904	2	28
1904	3	28
1904	4	28
1904	5	28
1904	6	28
1904	7	28
1904	8	28
1904	9	28
1904	10	28
1904	11	28
1904	12	28
1905	1	28
1905	2	28
1905	3	28
1905	4	28
1905	5	28
1905	6	28
1905	7	28
1905	8	28
1905	9	28
1905	10	28
1905	11	28
1905	12	28
1906	1	28
1906	2	28
1906	3	28
1906	4	28
1906	5	28
1906	6	28
1906	7	28
1906	8	28
1906	9	28
1906	10	28
1906	11	28
1906	12	28
1907	1	28
1907	2	28
1907	3	28
1907	4	28
1907	5	28
1907	6	28
1907	7	28
1907	8	28
1907	9	28
1907	10	28
1907	11	28
1907	12	28
1908	1	28
1908	2	28
1908	3	28
1908	4	28
1908	5	28
1908	6	28
1908	7	28
1908	8	28
1908	9	28
1908	10	28
1908	11	28
1908	12	28
1909	1	28
1909	2	28
1909	3	28
1909	4	28
1909	5	28
1909	6	28
1909	7	28
1909	8	28
1909	9	28
1909	10	28
1909	11	28
1909	12	28
1910	1	28
1910	2	28
1910	3	28
1910	4	28
1910	5	28
1910	6	28
1910	7	28
1910	8	28
1910	9	28
1910	10	28
1910	11	28
1910	12	28
1911	1	28
1911	2	28
1911	3	28
1911	4	28
1911	5	28
1911	6	28
1911	7	28
1911	8	28
1911	9	28
1911	10	28
1911	11	28
1911	12	28
1912	1	28
1912	2	28
1912	3	28
1912	4	28
1912	5	28
1912	6	28
1912	7	28
1912	8	28
1912	9	28
1912	10	28
1912	11	28
1912	12	28
1913	1	28
1913	2	28
1913	3	28
1913	4	28
1913	5	28
1913	6	28
1913	7	28
1913	8	28
1913	9	28
1913	10	28
1913	11	28
1913	12	28
1914	1	28
1914	2	28
1914	3	28
1914	4	28
1914	5	28
1914	6	28
1914	7	28
1914	8	28
1914	9	28
1914	10	28
1914	11	28
1914	12	28
1915	1	28
1915	2	28
1915	3	28
1915	4	28
1915	5	28
1915	6	28
1915	7	28
1915	8	28
1915	9	28
1915	10	28
1915	11	28
1915	12	28
1916	1	28
1916	2	28
1916	3	28
1916	4	28
1916	5	33
1916	6	33
1916	7	33
1916	8	33
1916	9	33
1916	10	33
