1916	3	3.339
1916	4	3.439
1916	5	3.539
1916	6	3.539
1916	7	3.539
1916	8	3.539
1916	9	3.639
1916	10	3.639
1916	11	3.739
1916	12	3.85
1917	1	4.039
1917	2	4.039
1917	3	4.239
1917	4	4.239
1917	5	4.239
1917	6	4.239
1917	7	5.039
1917	8	5.039
1917	9	5.039
1917	10	5.039
1917	11	4.565
1917	12	4.565
1918	1	4.565
1918	2	4.565
1918	3	4.565
1918	4	4.565
1918	5	4.565
1918	6	4.579
1918	7	4.62
1918	8	4.62
1918	9	4.62
1918	10	4.62
1918	11	4.62
1918	12	4.62
1919	1	4.62
1919	2	4.62
1919	3	4.558
1919	4	4.37
1919	5	4.37
1919	6	4.37
1919	7	4.37
1919	8	4.37
1919	9	4.37
1919	10	4.408
1919	11	4.52
1919	12	4.68
1920	1	4.72
1920	2	4.72
1920	3	4.72
1920	4	4.72
1920	5	4.72
1920	6	4.72
1920	7	4.72
1920	8	4.742
1920	9	4.83
1920	10	4.83
1920	11	4.76
1920	12	4.48
1921	1	4.48
1921	2	4.355
1921	3	4.23
1921	4	4.355
1921	5	4.48
1921	6	4.18
1921	7	3.843
1921	8	3.78
1921	9	3.893
1921	10	3.93
1921	11	3.9
1921	12	3.718
1922	1	3.53
1922	2	3.455
1922	3	3.43
1922	4	3.43
1922	5	3.43
1922	6	3.43
1922	7	3.39
1922	8	3.43
1922	9	3.54
1922	10	3.69
1922	11	3.69
1922	12	3.69
1923	1	3.69
1923	2	3.79
1923	3	3.853
1923	4	4.065
1923	5	4.14
1923	6	4.14
1923	7	4.14
1923	8	4.14
1923	9	4.14
1923	10	4.14
1923	11	4.14
1923	12	4.14
1924	1	4.14
1924	2	4.14
1924	3	4.14
1924	4	4.14
1924	5	4.065
1924	6	4.04
1924	7	3.98
1924	8	3.853
1924	9	3.82
1924	10	3.55
1924	11	3.55
1924	12	3.65
1925	1	3.65
1925	2	3.65
1925	3	3.65
1925	4	3.6
1925	5	3.55
1925	6	3.54
1925	7	3.4
1925	8	3.4
1925	9	3.4
1925	10	3.4
1925	11	3.4
1925	12	3.4
1926	1	3.4
1926	2	3.4
1926	3	3.4
1926	4	3.4
1926	5	3.4
1926	6	3.4
1926	7	3.4
1926	8	3.4
1926	9	3.4
1926	10	3.4
1926	11	3.4
1926	12	3.4
1927	1	3.388
1927	2	3.313
1927	3	3.3
1927	4	3.3
1927	5	3.27
1927	6	3.25
1927	7	3.275
1927	8	3.3
1927	9	3.3
1927	10	3.3
1927	11	3.25
1927	12	3.25
1928	1	3.25
1928	2	3.363
1928	3	3.4
1928	4	3.4
1928	5	3.4
1928	6	3.4
1928	7	3.28
1928	8	3.25
1928	9	3.25
1928	10	3.25
1928	11	3.25
1928	12	3.325
1929	1	3.35
1929	2	3.35
1929	3	3.35
1929	4	3.35
1929	5	3.35
1929	6	3.35
1929	7	3.35
1929	8	3.3
1929	9	3.3
1929	10	3.15
1929	11	3.113
1929	12	3.1
1930	1	3.025
1930	2	3
1930	3	3
1930	4	3
1930	5	2.85
1930	6	2.85
1930	7	2.85
1930	8	2.85
1930	9	2.85
1930	10	2.825
1930	11	2.75
1930	12	2.68
1931	1	2.6
1931	2	2.6
1931	3	2.6
1931	4	2.6
1931	5	2.6
1931	6	2.6
1931	7	2.6
1931	8	2.6
1931	9	2.6
1931	10	2.6
1931	11	2.6
1931	12	2.61
1932	1	2.65
1932	2	2.65
1932	3	2.65
1932	4	2.65
1932	5	2.65
1932	6	2.65
1932	7	2.65
1932	8	2.65
1932	9	2.65
1932	10	2.65
1932	11	2.65
1932	12	2.65
1933	1	2.47
1933	2	2.375
1933	3	2.4
1933	4	2.4
1933	5	2.4
1933	6	2.4
1933	7	2.588
1933	8	2.65
1933	9	2.65
1933	10	2.65
1933	11	2.65
1933	12	2.9
1934	1	2.9
1934	2	2.9
1934	3	2.9
1934	4	2.938
1934	5	3.05
1934	6	3.05
1934	7	3.05
1934	8	3.05
1934	9	3.05
1934	10	3.05
1934	11	3.05
1934	12	3.05
1935	1	3.05
1935	2	3.05
1935	3	3.05
1935	4	3.05
1935	5	3.05
1935	6	3.05
1935	7	3.05
1935	8	3
1935	9	2.85
1935	10	2.85
1935	11	2.85
1935	12	2.85
1936	1	2.85
1936	2	2.7
1936	3	2.55
1936	4	2.65
1936	5	2.65
1936	6	2.65
1936	7	2.65
1936	8	2.65
1936	9	2.52
1936	10	2.6
1936	11	2.6
1936	12	2.75
1937	1	2.8
1937	2	2.875
1937	3	3.38
1937	4	3.45
1937	5	3.45
1937	6	3.45
1937	7	3.45
1937	8	3.45
1937	9	3.45
1937	10	3.45
1937	11	3.45
1937	12	3.45
1938	1	3.45
1938	2	3.45
1938	3	3.45
1938	4	3.45
1938	5	3.45
1938	6	3.388
1938	7	3.2
1938	8	3.2
1938	9	3.2
1938	10	3.2
1938	11	3.2
1938	12	3.2
1939	1	3.2
1939	2	3.225
1939	3	3.3
1939	4	3.3
1939	5	3.3
1939	6	3.3
1939	7	3.263
1939	8	3.25
1939	9	3.25
1939	10	3.37
1939	11	3.4
1939	12	3.4
1940	1	3.4
1940	2	3.45
1940	3	3.5
1940	4	3.5
1940	5	3.5
1940	6	3.5
1940	7	3.5
1940	8	3.5
1940	9	3.5
1940	10	3.5
1940	11	.
1940	12	.
